Week,Week Start,Week End,Zone Index,Zone Label,Crop,Duration (min),Gallons (est.),Precip (in),Temp High (°F),Temp Low (°F),Humidity Avg (%)
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,Nectarine,105.0,3.5,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,Apple,105.0,3.5,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,Beans,105.0,11.2,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,Corn,105.0,4.0,0.07,79.3,32.5,43.0
2026-W22,2026-05-25,2026-05-31,3,Farm: outdoor,Pumpkin,105.0,4.0,0.07,79.3,32.5,43.0
2026-W23,2026-06-01,2026-06-07,3,Farm: outdoor,Nectarine,130.0,4.3,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,3,Farm: outdoor,Apple,130.0,4.3,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,3,Farm: outdoor,Beans,130.0,13.8,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,3,Farm: outdoor,Corn,130.0,5.0,0.0,86.1,42.8,25.5
2026-W23,2026-06-01,2026-06-07,3,Farm: outdoor,Pumpkin,130.0,5.0,0.0,86.1,42.8,25.5
2026-W24,2026-06-08,2026-06-14,3,Farm: outdoor,Nectarine,140.0,4.7,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,3,Farm: outdoor,Apple,140.0,4.7,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,3,Farm: outdoor,Beans,140.0,14.9,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,3,Farm: outdoor,Corn,140.0,5.4,0.4,88.4,43.8,35.1
2026-W24,2026-06-08,2026-06-14,3,Farm: outdoor,Pumpkin,140.0,5.4,0.4,88.4,43.8,35.1
2026-W25,2026-06-15,2026-06-21,3,Farm: outdoor,Nectarine,140.0,4.7,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,3,Farm: outdoor,Apple,140.0,4.7,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,3,Farm: outdoor,Beans,140.0,14.9,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,3,Farm: outdoor,Corn,140.0,5.4,0.0,88.9,43.0,32.6
2026-W25,2026-06-15,2026-06-21,3,Farm: outdoor,Pumpkin,140.0,5.4,0.0,88.9,43.0,32.6
2026-W26,2026-06-22,2026-06-28,3,Farm: outdoor,Nectarine,140.0,4.7,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,3,Farm: outdoor,Apple,140.0,4.7,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,3,Farm: outdoor,Beans,140.0,14.9,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,3,Farm: outdoor,Corn,140.0,5.4,0.02,89.8,46.2,32.5
2026-W26,2026-06-22,2026-06-28,3,Farm: outdoor,Pumpkin,140.0,5.4,0.02,89.8,46.2,32.5
2026-W27,2026-06-29,2026-07-05,3,Farm: outdoor,Nectarine,140.0,4.7,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,3,Farm: outdoor,Apple,140.0,4.7,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,3,Farm: outdoor,Beans,140.0,14.9,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,3,Farm: outdoor,Corn,140.0,5.4,0.01,88.6,39.2,25.0
2026-W27,2026-06-29,2026-07-05,3,Farm: outdoor,Pumpkin,140.0,5.4,0.01,88.6,39.2,25.0
2026-W28,2026-07-06,2026-07-12,3,Farm: outdoor,Nectarine,140.0,4.7,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,3,Farm: outdoor,Apple,140.0,4.7,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,3,Farm: outdoor,Beans,140.0,14.9,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,3,Farm: outdoor,Corn,140.0,5.4,0.02,94.6,56.3,34.2
2026-W28,2026-07-06,2026-07-12,3,Farm: outdoor,Pumpkin,140.0,5.4,0.02,94.6,56.3,34.2
2026-W29,2026-07-13,2026-07-19,3,Farm: outdoor,Nectarine,120.0,4.0,1.63,88.8,52.6,69.0
2026-W29,2026-07-13,2026-07-19,3,Farm: outdoor,Apple,120.0,4.0,1.63,88.8,52.6,69.0
2026-W29,2026-07-13,2026-07-19,3,Farm: outdoor,Beans,120.0,12.8,1.63,88.8,52.6,69.0
2026-W29,2026-07-13,2026-07-19,3,Farm: outdoor,Corn,120.0,4.6,1.63,88.8,52.6,69.0
2026-W29,2026-07-13,2026-07-19,3,Farm: outdoor,Pumpkin,120.0,4.6,1.63,88.8,52.6,69.0
2026-W30,2026-07-20,2026-07-26,3,Farm: outdoor,Nectarine,80.0,2.7,0.89,89.9,56.3,74.5
2026-W30,2026-07-20,2026-07-26,3,Farm: outdoor,Apple,80.0,2.7,0.89,89.9,56.3,74.5
2026-W30,2026-07-20,2026-07-26,3,Farm: outdoor,Beans,80.0,8.5,0.89,89.9,56.3,74.5
2026-W30,2026-07-20,2026-07-26,3,Farm: outdoor,Corn,80.0,3.1,0.89,89.9,56.3,74.5
2026-W30,2026-07-20,2026-07-26,3,Farm: outdoor,Pumpkin,80.0,3.1,0.89,89.9,56.3,74.5
